"country_name","total_samples"
"Algeria",1
"Angola",1084
"Benin",675
"Burkina Faso",1611
"Burundi",1
"Cameroon",1441
"Cape Verde",38
"Central African Republic",190
"Chad",605
"Comoros",442
"Congo - Brazzaville",327
"Congo - Kinshasa",6931
"Côte d'Ivoire",71
"Côte d’Ivoire",1246
"Democratic Republic of the Congo",5030
"Equatorial Guinea",1651
"Eritrea",1347
"Ethiopia",5165
"Gabon",782
"Gambia",1317
"Ghana",8672
"Guinea",670
"Guinea-Bissau",17
"Kenya",4679
"Liberia",741
"Libya",2
"Madagascar",364
"Malawi",684
"Mali",4152
"Mauritania",153
"Mozambique",1002
"Niger",771
"Nigeria",599
"Rwanda",5607
"Senegal",3592
"Sierra Leone",163
"Somalia",823
"South Africa",4773
"South Sudan",583
"Sudan",190
"São Tomé & Príncipe",120
"Tanzania",29691
"Togo",1372
"Uganda",38048
"Zambia",2072
"Zimbabwe",7
