year,num_study_ID,num_survey_ID,sample_size,total_denominator
1984,1,1,1,3128
1990,1,1,1,230
1991,1,1,1,46
1994,1,1,1,69
1995,1,1,1,1035
1996,2,3,3,2455
1997,1,1,1,644
1998,2,2,2,456
1999,2,5,5,7228
2001,1,1,1,782
2002,2,2,2,2892
2003,2,2,2,223
2004,4,4,4,2107
2005,4,5,5,1943
2006,3,4,4,2756
2007,8,18,18,11612
2008,5,7,7,6900
2009,3,5,5,9961
2010,12,22,22,30261
2011,13,16,16,26161
2012,21,46,46,43173
2013,34,414,414,118293
2014,42,140,140,199468
2015,39,92,92,85867
2016,29,67,67,92293
2017,30,133,133,118484
2018,32,128,128,136137
2019,25,91,91,253177
2020,10,46,46,95706
2021,12,149,149,188752
2022,4,13,13,25278
2023,2,2,2,6000
