"","country_name","num_study_ID","num_survey_ID","sample_size"
"1","Algeria",1,1,1
"2","Angola",7,16,16
"3","Benin",6,10,10
"4","Burkina Faso",7,7,7
"5","Burundi",1,1,1
"6","Cameroon",7,10,10
"7","Central African Republic",2,3,3
"8","Chad",5,10,10
"9","Comoros",3,6,6
"10","Congo - Brazzaville",6,13,13
"11","Congo - Kinshasa",12,43,43
"12","Côte d'Ivoire",1,2,2
"13","Côte d’Ivoire",4,6,6
"14","Democratic Republic of the Congo",12,377,377
"15","Equatorial Guinea",6,15,15
"16","Eritrea",2,14,14
"17","Ethiopia",11,50,50
"18","Gabon",7,9,9
"19","Gambia",9,21,21
"20","Ghana",28,75,75
"21","Guinea",5,9,9
"22","Guinea-Bissau",2,2,2
"23","Kenya",21,56,56
"24","Liberia",3,9,9
"25","Libya",1,1,1
"26","Madagascar",3,6,6
"27","Malawi",5,6,6
"28","Mali",16,39,39
"29","Mauritania",2,4,4
"30","Mozambique",6,12,12
"31","Niger",3,5,5
"32","Nigeria",9,16,16
"33","Rwanda",14,45,45
"34","Senegal",10,30,30
"35","Sierra Leone",4,8,8
"36","Somalia",4,8,8
"37","South Africa",2,2,2
"38","South Sudan",4,11,11
"39","Sudan",6,14,14
"40","São Tomé & Príncipe",1,1,1
"41","Tanzania",21,239,239
"42","Togo",5,8,8
"43","Uganda",22,136,136
"44","Zambia",7,65,65
"45","Zimbabwe",2,2,2
