"","year","num_study_ID","num_survey_ID","sample_size"
"1",1984,1,1,1
"2",1990,1,1,1
"3",1991,1,1,1
"4",1994,1,1,1
"5",1995,1,1,1
"6",1996,2,3,3
"7",1997,1,1,1
"8",1998,2,2,2
"9",1999,2,5,5
"10",2001,1,1,1
"11",2002,2,2,2
"12",2003,4,4,4
"13",2004,4,4,4
"14",2005,4,5,5
"15",2006,5,8,8
"16",2007,9,20,20
"17",2008,5,7,7
"18",2009,4,6,6
"19",2010,14,28,28
"20",2011,15,23,23
"21",2012,27,56,56
"22",2013,44,430,430
"23",2014,50,156,156
"24",2015,44,109,109
"25",2016,33,72,72
"26",2017,34,138,138
"27",2018,36,137,137
"28",2019,23,86,86
"29",2020,10,46,46
"30",2021,11,145,145
"31",2022,3,12,12
"32",2023,2,2,2
