"","study_id","study_name","study_type","authors","publication_year","url","survey_id","country_name","site_name","latitude","longitude","spatial_notes","collection_start","collection_end","collection_day","time_notes","numerator","denominator","prevalence","prevalence_lower","prevalence_upper","year","mutation"
"1","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Kayes_2010","Mali","Kayes",13.0364799499512,-9.47502994537354,"lat/lon reported in WWARN","2010-01-01","2010-12-31","2010-07-02","Automated midpoint",0,117,0,0,3.10370316931116,"2010","k13:561:H"
"2","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Segou_2010","Mali","Segou",13.3332996368408,-4.83333015441895,"lat/lon reported in WWARN","2010-01-01","2010-12-31","2010-07-02","Automated midpoint",2,260,0.769230769230769,0.0932935506064702,2.75094647749559,"2010","k13:561:H"
"3","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_UpperRiver_2012","Gambia","Upper River",13.3100004196167,-14.2137002944946,"lat/lon reported in WWARN","2012-01-01","2012-12-31","2012-07-01","Automated midpoint",0,50,0,0,7.11217364641976,"2012","k13:561:H"
"4","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_UpperEast_2012","Ghana","Upper East",10.8927602767944,-1.0905499458313,"lat/lon reported in WWARN","2012-01-01","2012-12-31","2012-07-01","Automated midpoint",0,76,0,0,4.73787538669307,"2012","k13:561:H"
"5","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_PlateauCentral_2011","Burkina Faso","Plateau Central",12.6330299377441,-1.06972002983093,"lat/lon reported in WWARN","2011-01-01","2011-12-31","2011-07-02","Automated midpoint",0,273,0,0,1.34214965665844,"2011","k13:561:H"
"6","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Eastern_2012","Uganda","Eastern",0.694260001182556,34.1812591552734,"lat/lon reported in WWARN","2012-01-01","2012-12-31","2012-07-01","Automated midpoint",0,100,0,0,3.62166926451765,"2012","k13:561:H"
"7","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Kinshasa_2006","Congo - Kinshasa","Kinshasa",-4.33811037182267,15.2944087982178,"lat/lon reported in WWARN","2006-01-01","2006-12-31","2006-07-02","Automated midpoint",0,35,0,0,10.0032435572105,"2006","k13:561:H"
"8","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Kinshasa_2007","Congo - Kinshasa","Kinshasa",-4.33811037182267,15.2944087982178,"lat/lon reported in WWARN","2007-01-01","2007-12-31","2007-07-02","Automated midpoint",0,50,0,0,7.11217364641976,"2007","k13:561:H"
"9","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_SouthernRegion_2010","Malawi","Southern Region",-14.9652500152588,35.6816291809082,"lat/lon reported in WWARN","2010-01-01","2010-12-31","2010-07-02","Automated midpoint",0,100,0,0,3.62166926451765,"2010","k13:561:H"
"10","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Siaya_2012","Kenya","Siaya",0.0658999979496002,34.2876586914062,"lat/lon reported in WWARN","2012-01-01","2012-12-31","2012-07-01","Automated midpoint",0,53,0,0,6.72345463063011,"2012","k13:561:H"
"11","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Pwani_2006","Tanzania","Pwani",-6.40000009536743,38.6666984558105,"lat/lon reported in WWARN","2006-01-01","2006-12-31","2006-07-02","Automated midpoint",0,50,0,0,7.11217364641976,"2006","k13:561:H"
"12","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_KongoCentral_2007","Congo - Kinshasa","Kongo Central",-5.49045643091722,13.2808208465576,"lat/lon reported in WWARN","2007-01-01","2007-12-31","2007-07-02","Automated midpoint",0,14,0,0,23.1635761650116,"2007","k13:561:H"
"13","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Kwilu_2007","Congo - Kinshasa","Kwilu",-3.31068992614746,17.3814392089844,"lat/lon reported in WWARN","2007-01-01","2007-12-31","2007-07-02","Automated midpoint",0,50,0,0,7.11217364641976,"2007","k13:561:H"
"14","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Kisumu_2004","Kenya","Kisumu",-0.0985099971294403,34.767261505127,"lat/lon reported in WWARN","2004-01-01","2004-12-31","2004-07-01","Automated midpoint",0,50,0,0,7.11217364641976,"2004","k13:561:H"
"15","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Kisumu_2007","Kenya","Kisumu",-0.0985099971294403,34.767261505127,"lat/lon reported in WWARN","2007-01-01","2007-12-31","2007-07-02","Automated midpoint",0,108,0,0,3.35795502186544,"2007","k13:561:H"
